"Date","Price","Open","High","Low","Vol.","Change %"
"May 30, 2019","123.51","124.43","125.97","122.25","1.84M","-1.03%"
"May 29, 2019","124.80","122.97","125.99","122.97","1.47M","1.22%"
"May 28, 2019","123.30","126.74","127.00","122.00","2.87M","-2.76%"
"May 27, 2019","126.80","126.00","127.99","125.00","575.80K","0.42%"
"May 24, 2019","126.27","127.13","128.48","125.51","3.29M","-0.68%"
"May 23, 2019","127.13","126.05","128.70","125.00","1.63M","1.66%"
"May 22, 2019","125.05","120.00","125.39","119.50","2.18M","4.58%"
"May 21, 2019","119.57","122.65","122.99","118.10","2.84M","-1.98%"
"May 20, 2019","121.98","120.88","123.00","118.20","1.41M","2.50%"
"May 17, 2019","119.00","121.90","121.90","118.00","418.80K","-0.34%"
"May 16, 2019","119.41","122.50","122.50","117.12","1.69M","-2.64%"
"May 15, 2019","122.65","122.15","125.95","122.00","415.90K","-0.69%"
"May 14, 2019","123.50","125.50","125.50","123.00","421.50K","-0.40%"
"May 13, 2019","124.00","124.90","127.50","123.00","954.50K","0.49%"
"May 10, 2019","123.40","124.06","125.51","123.40","219.80K","-1.08%"
"May 09, 2019","124.75","125.90","128.00","124.05","477.50K","-0.99%"
"May 08, 2019","126.00","128.00","129.12","125.00","1.04M","-1.84%"
"May 07, 2019","128.36","121.21","128.36","121.21","1.30M","5.21%"
"May 06, 2019","122.00","122.40","123.48","121.03","1.08M","-0.36%"
"May 03, 2019","122.44","125.45","126.00","121.50","450.70K","-3.19%"
"May 02, 2019","126.48","126.52","126.98","125.10","287.00K","-0.66%"
"Apr 30, 2019","127.32","128.49","130.20","126.10","1.58M","-0.92%"
"Apr 29, 2019","128.50","127.75","129.20","125.50","1.65M","1.06%"
"Apr 26, 2019","127.15","126.92","128.50","126.03","1.42M","0.18%"
"Apr 25, 2019","126.92","122.51","128.05","122.51","1.69M","3.85%"
"Apr 24, 2019","122.22","121.50","125.00","121.25","1.14M","0.59%"
"Apr 23, 2019","121.50","123.51","123.51","120.01","925.60K","-1.54%"
"Apr 22, 2019","123.40","128.40","128.40","123.05","424.10K","-2.91%"
"Apr 19, 2019","127.10","124.00","130.00","124.00","1.76M","2.66%"
"Apr 18, 2019","123.81","121.25","125.25","121.20","1.48M","2.09%"
"Apr 17, 2019","121.28","127.00","127.50","121.17","2.81M","-5.62%"
"Apr 16, 2019","128.50","129.00","129.50","126.25","603.40K","0.38%"
"Apr 15, 2019","128.01","126.00","130.89","125.01","2.93M","0.80%"
"Apr 12, 2019","126.99","125.00","129.70","123.13","2.50M","2.66%"
"Apr 11, 2019","123.70","123.89","124.25","121.98","2.14M","0.78%"
"Apr 10, 2019","122.74","124.99","124.99","120.30","1.08M","-1.23%"
"Apr 09, 2019","124.27","125.50","128.16","123.25","2.56M","-0.18%"
"Apr 08, 2019","124.50","124.60","126.50","122.51","267.90K","-0.12%"
"Apr 05, 2019","124.65","125.01","126.00","124.00","1.52M","-0.04%"
