Date,Open,High,Low,Close,Volume,Change
2019-05-29 19:00:00,289.75,294.01,281.55,283.8,1358200,-3.88
2019-05-28 19:00:00,280.99,290.5,280.99,287.68,1321300,11.01
2019-05-27 19:00:00,281.5,281.5,274.8,276.67,1062000,-5.04
2019-05-26 19:00:00,280.0,284.9,279.61,281.71,794400,1.99
2019-05-23 19:00:00,280.12,284.75,277.05,279.72,609300,-0.4
2019-05-22 19:00:00,277.0,283.15,271.9,280.12,1198000,10.4
2019-05-21 19:00:00,261.05,272.87,261.05,269.72,619900,9.84
2019-05-20 19:00:00,257.0,263.0,256.01,259.88,432300,-0.95
2019-05-19 19:00:00,255.02,264.0,249.0,260.83,445500,6.58
2019-05-16 19:00:00,263.9,263.99,252.5,254.25,348500,-7.72
2019-05-15 19:00:00,263.5,263.89,258.01,261.97,96400,-1.33
2019-05-14 19:00:00,267.0,269.49,261.6,263.3,387300,0.56
2019-05-13 19:00:00,257.02,264.59,257.02,262.74,507500,2.0
2019-05-12 19:00:00,268.0,269.0,257.52,260.74,372700,-5.35
2019-05-09 19:00:00,268.1,268.1,264.9,266.09,91100,-2.83
2019-05-08 19:00:00,274.99,277.0,268.0,268.92,486800,-3.33
2019-05-07 19:00:00,277.8,279.95,271.25,272.25,643100,-5.35
2019-05-06 19:00:00,279.42,281.99,276.6,277.6,119400,-1.82
2019-05-05 19:00:00,286.5,287.0,277.75,279.42,238600,-6.22
2019-05-02 19:00:00,291.0,291.0,284.0,285.64,221000,-4.33
2019-05-01 19:00:00,292.0,299.8,289.5,289.97,141700,1.24
2019-04-29 19:00:00,288.19,291.21,286.87,288.73,248900,-2.48
2019-04-28 19:00:00,295.45,297.95,290.9,291.21,400400,-2.76
2019-04-25 19:00:00,290.91,298.42,290.91,293.97,739900,0.33
2019-04-24 19:00:00,289.99,296.35,287.79,293.65,632300,5.85
2019-04-23 19:00:00,286.05,290.9,284.64,287.79,373600,1.75
2019-04-22 19:00:00,289.54,290.88,285.45,286.05,645800,-3.49
2019-04-21 19:00:00,290.89,291.82,289.09,289.54,311800,-0.19
2019-04-18 19:00:00,288.73,293.86,288.64,289.73,369900,1.24
2019-04-17 19:00:00,287.95,289.91,287.27,288.49,262800,0.53
2019-04-16 19:00:00,289.18,289.36,286.35,287.96,210800,-1.15
2019-04-15 19:00:00,288.23,290.91,286.82,289.11,310600,-1.26
2019-04-14 19:00:00,292.82,292.82,288.18,290.37,245600,1.53
2019-04-11 19:00:00,287.28,293.18,286.82,290.66,383100,3.45
2019-04-10 19:00:00,285.91,289.09,285.45,287.22,378700,1.13
2019-04-09 19:00:00,287.36,289.05,283.82,286.09,138800,-2.54
2019-04-08 19:00:00,287.27,290.91,283.27,288.63,469100,2.54
2019-04-07 19:00:00,287.3,289.55,285.0,286.09,993600,-3.88
2019-04-04 19:00:00,290.44,290.92,288.41,289.97,527500,0.59
2019-04-03 19:00:00,290.94,291.82,288.18,289.38,322700,-3.22
2019-04-02 19:00:00,287.27,295.45,282.91,292.6,256400,0.98
2019-04-01 19:00:00,295.36,295.45,290.0,291.62,126400,-1.7
2019-03-31 19:00:00,297.27,297.27,293.18,293.32,132900,-4.16
2019-03-28 19:00:00,293.64,299.95,293.82,297.48,311700,2.53
2019-03-27 19:00:00,293.73,295.91,293.65,294.95,247300,-2.2
2019-03-26 19:00:00,292.73,297.73,292.64,297.15,238700,5.37
2019-03-25 19:00:00,290.45,292.73,288.32,291.78,190800,0.91
2019-03-24 19:00:00,292.74,292.74,290.11,290.87,69000,-3.03
2019-03-21 19:00:00,294.55,296.64,292.72,293.9,64700,-1.18
2019-03-20 19:00:00,298.18,298.18,293.65,295.08,271100,-2.89
2019-03-19 19:00:00,292.71,298.45,292.68,297.97,654000,5.46
2019-03-18 19:00:00,293.18,297.27,291.45,292.51,534200,1.35
2019-03-17 19:00:00,289.09,291.82,286.36,291.15,267300,3.77
2019-03-14 19:00:00,290.53,290.53,286.38,287.38,206900,-1.31
2019-03-13 19:00:00,289.98,291.76,282.87,288.69,135100,0.06
2019-03-12 19:00:00,288.85,290.0,286.64,288.63,95300,-0.21
2019-03-11 19:00:00,292.7,292.7,286.46,288.84,266600,-0.37
2019-03-10 19:00:00,291.82,293.63,288.65,289.21,97200,-2.18
2019-03-07 19:00:00,295.65,296.85,289.09,291.39,253800,-5.45
2019-03-06 19:00:00,297.73,297.73,295.5,296.85,23600,-0.74
